Child	Child Id	Mother	Mother Id	Father	Father Id	Pedigree Conflict Score
TMS13F1160P0009	82433	IITA-TMS-IBA993073	68475	IITA-TMS-IBA993073	68475	0.0477359140836928
TMS13F1176P0003	91231	IITA-TMS-IBA020431	68363	IITA-TMS-IBA020431	68363	0.0405122959932406
TMS13F1202P0046	86839	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.035031351447503
TMS13F1212P0002	79481	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0419381198025526
TMS13F1212P0003	79447	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0390447814292703
TMS13F1212P0032	81083	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0393060434917952
TMS13F1212P0055	80713	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0415795793124917
TMS13F1212P0058	79573	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0392726908880686
TMS13F1212P0061	79579	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0413044203317472
TMS13F1214P0004	83929	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0361625605905634
TMS13F1288P0009	88711	IITA-TMS-IBA020129	69713	IITA-TMS-IBA020129	69713	0.0437641748565838
TMS13F1332P0045	81549	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.04509272023836
TMS13F1420P0006	83647	IITA-TMS-IBA930007	69865	IITA-TMS-IBA930007	69865	0.0486003023969405
TMS13F1212P0072	81169	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0404594877040068
TMS13F1214P0014	83847	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0364794103259661
TMS13F1303P0001	76709	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0468576288522258
TMS13F1333P0002	77001	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0492478987859652
TMS13F1423P0009	77343	IITA-TMS-IBA930007	69865	IITA-TMS-IBA930007	69865	0.0442505669942633
TMS13F1212P0079	84023	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0406484857917908
TMS13F1253P0011	82039	IITA-TMS-IBA930134	72133	IITA-TMS-IBA930134	72133	0.0524858807310891
TMS13F1332P0042	83113	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0520022679770534
TMS13F1391P0039	80543	IITA-TMS-IBA030075	68221	IITA-TMS-IBA030075	68221	0.0562825187886334
TMS13F1214P0029	83637	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0353787744029884
TMS13F1306P0003	83927	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0815804687152577
TMS13F1333P0003	76903	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0477859429892827
TMS13F1436P0004	77457	IITA-TMS-IBA980002	68419	IITA-TMS-IBA980002	68419	0.0452150131186908
TMS13F1214P0036	78339	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0353148485791791
TMS13F1306P0004	84183	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.070726975585894
TMS13F1333P0014	77817	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0472912127006715
TMS13F1436P0005	78427	IITA-TMS-IBA980002	68419	IITA-TMS-IBA980002	68419	0.0455124071685863
TMS13F1216P0006	87823	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.0384861253168497
TMS13F1307P0008	88687	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0494924845466269
TMS13F1333P0017	83757	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0473523591408369
TMS13F1436P0006	78119	IITA-TMS-IBA980002	68419	IITA-TMS-IBA980002	68419	0.0465352203495353
TMS13F1216P0010	84215	IITA-TMS-IBA011412	67985	IITA-TMS-IBA011412	67985	0.032415951438609
TMS13F1307P0011	87807	IITA-TMS-IBA030060	69715	IITA-TMS-IBA030060	69715	0.0505820029350291
TMS13F1333P0027	76809	IITA-TMS-IBA940237	68557	IITA-TMS-IBA940237	68557	0.0482445412905235
